아이디	부모아이디	종류	이름	값	비고
1	-1	1	기존	1	
2	-1	1	리트로핏	2	
3	-1	1	리모델링	3	
4	-1	2	00. 포츠담_2011	0	
5	-1	2	01. 춘천	1	
6	-1	2	02. 강릉	2	
7	-1	2	03. 서울	3	
8	-1	2	04. 인천	4	
9	-1	2	05. 원주	5	
10	-1	2	06. 청주	6	
11	-1	2	07. 대전	7	
12	-1	2	08. 대구	8	
13	-1	2	09. 전주	9	
14	-1	2	10. 광주	10	
15	-1	2	11. 부산	11	
16	-1	2	12. 목포	12	
17	-1	2	13. 서산	13	
18	-1	2	14. 진주	14	
19	-1	2	15. 포항	15	
20	-1	2	16. 제주	16	
21	-1	2	17. 안동	17	
22	-1	2	18. 수원	18	
23	-1	2	19. 대관령	19	
24	-1	2	20. 추풍	20	
25	-1	3	중부2	0	
26	-1	3	중부1	1	
27	-1	3	중부2	2	
28	-1	3	중부2	3	
29	-1	3	중부2	4	
30	-1	3	중부1	5	
31	-1	3	중부2	6	
32	-1	3	중부2	7	
33	-1	3	남부	8	
34	-1	3	남부	9	
35	-1	3	남부	10	
36	-1	3	남부	11	
37	-1	3	남부	12	
38	-1	3	중부2	13	
39	-1	3	남부	14	
40	-1	3	남부	15	
41	-1	3	제주	16	
42	-1	3	중부2	17	
43	-1	3	중부2	18	
44	-1	3	중부2	19	
45	-1	3	중부2	20	
46	-1	4	단일 리트로핏	1	
47	-1	4	단계별 리트로핏	2	
48	-1	4	리모델링	3	
49	-1	5	저에너지건축물 수준	1	
50	-1	5	패시브하우스 수준	2	
51	-1	5	제로에너지건축물 수준	3	
52	-1	6	진단정보 활용	1	
53	-1	6	법규/표준정보 활용	2	
54	-1	7	에너지다소비형건물	1	
55	-1	7	24시간에너지소비형건물	2	
56	-1	7	지역주민다중이용건물	3	
57	-1	7	복지지원형건물	4	
58	-1	8	에너지다소비형건물	0	
59	-1	8	24시간에너지소비형건물	1	
60	-1	8	지역주민다중이용건물	2	
61	-1	8	복지지원형건물	3	
62	58	-1	정부청사	1	
63	59	-1	경찰지구대	1	
64	59	-1	소방청사	2	
65	59	-1	보건소	3	
66	60	-1	공공도서관	1	
67	60	-1	문화체육센터	2	
68	61	-1	노인복지시설	1	
69	61	-1	어린이집	2	
70	-1	10	철근콘크리트조	1	
71	-1	10	철골조	2	
72	-1	10	목구조	3	
73	-1	11	철근콘크리트조	1	
74	-1	11	철골조	2	
75	-1	11	목구조	3	
76	-1	12	STS	1	
77	-1	12	일반ALU	2	
78	-1	12	단열ALU	3	
79	-1	13	none	1	
80	-1	13	STS	2	
81	-1	13	일반ALU	3	
82	-1	13	단열ALU	4	
83	-1	13	제품	5	
84	-1	14	콘크리트조	3	
85	-1	14	기존바닥	4	
86	-1	15	법규	1	
87	-1	15	계산	2	
88	-1	15	진단	3	
89	-1	16	기존 커튼월창	1	
90	-1	16	신규 커튼월창	2	
91	-1	16	철거 후 신규	3	
92	-1	17	일반간봉	1	
93	-1	17	단열간봉	2	
94	-1	17	제품선택	3	
95	-1	18	직접외기	1	D
96	-1	18	간접외기	2	I
97	-1	19	내단열	1	
98	-1	19	외단열	2	
99	-1	19	목구조	3	
100	-1	19	경량철골조	4	
101	-1	20	외부측	1	
102	-1	20	중간	2	
103	-1	20	내부측	3	
104	-1	20	none	4	
105	-1	21	스크린	1	
106	-1	21	베네치안	2	
107	-1	21	롤	3	
108	-1	21	none	4	
109	-1	22	없음	1	
110	-1	22	보통	2	
111	-1	22	많음	3	
112	-1	22	none	4	
113	-1	23	흰색	1	
114	-1	23	밝은	2	
115	-1	23	보통	3	
116	-1	23	어두움	4	
117	-1	23	검은색	5	
